Hub_City,Date,Max_Temp_C
Hyderabad,2025-01-01,28.6
Hyderabad,2025-01-02,28.2
Hyderabad,2025-01-03,28.9
Hyderabad,2025-01-04,28.9
Hyderabad,2025-01-05,28.2
Hyderabad,2025-01-06,27.5
Hyderabad,2025-01-07,28.6
Hyderabad,2025-01-08,27.2
Hyderabad,2025-01-09,25.8
Hyderabad,2025-01-10,26.4
Hyderabad,2025-01-11,26.8
Hyderabad,2025-01-12,27.7
Hyderabad,2025-01-13,28.7
Hyderabad,2025-01-14,28.5
Hyderabad,2025-01-15,28.1
Hyderabad,2025-01-16,28.2
Hyderabad,2025-01-17,28.4
Hyderabad,2025-01-18,26.9
Hyderabad,2025-01-19,29.3
Hyderabad,2025-01-20,29.5
Hyderabad,2025-01-21,30.5
Hyderabad,2025-01-22,30.1
Hyderabad,2025-01-23,29.6
Hyderabad,2025-01-24,30.6
Hyderabad,2025-01-25,31.3
Hyderabad,2025-01-26,30.1
Hyderabad,2025-01-27,31.2
Hyderabad,2025-01-28,31.0
Hyderabad,2025-01-29,30.5
Hyderabad,2025-01-30,31.0
Hyderabad,2025-01-31,32.4
Hyderabad,2025-02-01,32.2
Hyderabad,2025-02-02,32.3
Hyderabad,2025-02-03,32.2
Hyderabad,2025-02-04,33.1
Hyderabad,2025-02-05,33.4
Hyderabad,2025-02-06,32.4
Hyderabad,2025-02-07,32.1
Hyderabad,2025-02-08,32.3
Hyderabad,2025-02-09,31.6
Hyderabad,2025-02-10,32.3
Hyderabad,2025-02-11,33.7
Hyderabad,2025-02-12,34.4
Hyderabad,2025-02-13,33.6
Hyderabad,2025-02-14,32.8
Hyderabad,2025-02-15,32.9
Hyderabad,2025-02-16,33.5
Hyderabad,2025-02-17,34.3
Hyderabad,2025-02-18,34.7
Hyderabad,2025-02-19,34.0
Hyderabad,2025-02-20,33.9
Hyderabad,2025-02-21,32.8
Hyderabad,2025-02-22,33.9
Hyderabad,2025-02-23,33.2
Hyderabad,2025-02-24,32.3
Hyderabad,2025-02-25,31.8
Hyderabad,2025-02-26,31.8
Hyderabad,2025-02-27,32.4
Hyderabad,2025-02-28,32.5
Hyderabad,2025-03-01,32.8
Hyderabad,2025-03-02,34.5
Hyderabad,2025-03-03,35.6
Hyderabad,2025-03-04,36.0
Hyderabad,2025-03-05,33.7
Hyderabad,2025-03-06,32.5
Hyderabad,2025-03-07,33.4
Hyderabad,2025-03-08,35.8
Hyderabad,2025-03-09,34.7
Hyderabad,2025-03-10,32.6
Hyderabad,2025-03-11,33.6
Hyderabad,2025-03-12,35.8
Hyderabad,2025-03-13,37.6
Hyderabad,2025-03-14,37.4
Hyderabad,2025-03-15,37.4
Hyderabad,2025-03-16,37.2
Hyderabad,2025-03-17,37.6
Hyderabad,2025-03-18,37.0
Hyderabad,2025-03-19,36.1
Hyderabad,2025-03-20,35.3
Hyderabad,2025-03-21,35.8
Hyderabad,2025-03-22,33.8
Hyderabad,2025-03-23,32.3
Hyderabad,2025-03-24,33.3
Hyderabad,2025-03-25,34.5
Hyderabad,2025-03-26,36.2
Hyderabad,2025-03-27,37.5
Hyderabad,2025-03-28,37.8
Hyderabad,2025-03-29,37.6
Hyderabad,2025-03-30,38.1
Hyderabad,2025-03-31,37.0
Hyderabad,2025-04-01,35.2
Hyderabad,2025-04-02,32.8
Hyderabad,2025-04-03,30.3
Hyderabad,2025-04-04,30.6
Hyderabad,2025-04-05,32.5
Hyderabad,2025-04-06,34.5
Hyderabad,2025-04-07,36.1
Hyderabad,2025-04-08,35.6
Hyderabad,2025-04-09,36.8
Hyderabad,2025-04-10,37.1
Hyderabad,2025-04-11,37.0
Hyderabad,2025-04-12,37.1
Hyderabad,2025-04-13,37.0
Hyderabad,2025-04-14,36.9
Hyderabad,2025-04-15,36.2
Hyderabad,2025-04-16,36.2
Hyderabad,2025-04-17,35.9
Hyderabad,2025-04-18,37.2
Hyderabad,2025-04-19,35.3
Hyderabad,2025-04-20,37.9
Hyderabad,2025-04-21,37.8
Hyderabad,2025-04-22,38.5
Hyderabad,2025-04-23,38.3
Hyderabad,2025-04-24,38.7
Hyderabad,2025-04-25,38.4
Hyderabad,2025-04-26,37.6
Hyderabad,2025-04-27,32.9
Hyderabad,2025-04-28,37.0
Hyderabad,2025-04-29,36.9
Hyderabad,2025-04-30,38.4
Hyderabad,2025-05-01,37.9
Hyderabad,2025-05-02,38.7
Hyderabad,2025-05-03,38.6
Hyderabad,2025-05-04,38.5
Hyderabad,2025-05-05,37.5
Hyderabad,2025-05-06,36.8
Hyderabad,2025-05-07,36.0
Hyderabad,2025-05-08,35.2
Hyderabad,2025-05-09,35.6
Hyderabad,2025-05-10,36.5
Hyderabad,2025-05-11,37.6
Hyderabad,2025-05-12,37.0
Hyderabad,2025-05-13,36.5
Hyderabad,2025-05-14,36.9
Hyderabad,2025-05-15,33.6
Hyderabad,2025-05-16,35.5
Hyderabad,2025-05-17,34.9
Hyderabad,2025-05-18,35.2
Hyderabad,2025-05-19,34.0
Hyderabad,2025-05-20,34.5
Hyderabad,2025-05-21,30.2
Hyderabad,2025-05-22,30.8
Hyderabad,2025-05-23,31.5
Hyderabad,2025-05-24,31.1
Hyderabad,2025-05-25,30.4
Hyderabad,2025-05-26,28.8
Hyderabad,2025-05-27,30.7
Hyderabad,2025-05-28,28.0
Hyderabad,2025-05-29,30.9
Hyderabad,2025-05-30,32.2
Hyderabad,2025-05-31,33.6
Hyderabad,2025-06-01,33.0
Hyderabad,2025-06-02,31.9
Hyderabad,2025-06-03,31.8
Hyderabad,2025-06-04,33.0
Hyderabad,2025-06-05,32.5
Hyderabad,2025-06-06,33.8
Hyderabad,2025-06-07,35.4
Hyderabad,2025-06-08,35.1
Hyderabad,2025-06-09,28.6
Hyderabad,2025-06-10,31.5
Hyderabad,2025-06-11,30.1
Hyderabad,2025-06-12,31.1
Hyderabad,2025-06-13,32.1
Hyderabad,2025-06-14,31.4
Hyderabad,2025-06-15,30.9
Hyderabad,2025-06-16,30.2
Hyderabad,2025-06-17,31.8
Hyderabad,2025-06-18,31.4
Hyderabad,2025-06-19,31.6
Hyderabad,2025-06-20,31.6
Hyderabad,2025-06-21,32.5
Hyderabad,2025-06-22,33.0
Hyderabad,2025-06-23,31.7
Hyderabad,2025-06-24,29.4
Hyderabad,2025-06-25,28.9
Hyderabad,2025-06-26,30.0
Hyderabad,2025-06-27,30.4
Hyderabad,2025-06-28,32.0
Hyderabad,2025-06-29,32.0
Hyderabad,2025-06-30,30.6
Mumbai,2025-01-01,32.4
Mumbai,2025-01-02,32.8
Mumbai,2025-01-03,33.4
Mumbai,2025-01-04,32.9
Mumbai,2025-01-05,29.2
Mumbai,2025-01-06,29.9
Mumbai,2025-01-07,31.4
Mumbai,2025-01-08,30.6
Mumbai,2025-01-09,32.0
Mumbai,2025-01-10,31.3
Mumbai,2025-01-11,28.6
Mumbai,2025-01-12,30.0
Mumbai,2025-01-13,32.7
Mumbai,2025-01-14,32.9
Mumbai,2025-01-15,30.2
Mumbai,2025-01-16,29.7
Mumbai,2025-01-17,33.4
Mumbai,2025-01-18,34.0
Mumbai,2025-01-19,33.2
Mumbai,2025-01-20,33.2
Mumbai,2025-01-21,31.4
Mumbai,2025-01-22,31.4
Mumbai,2025-01-23,30.5
Mumbai,2025-01-24,31.7
Mumbai,2025-01-25,33.2
Mumbai,2025-01-26,33.5
Mumbai,2025-01-27,32.5
Mumbai,2025-01-28,30.5
Mumbai,2025-01-29,30.8
Mumbai,2025-01-30,31.4
Mumbai,2025-01-31,29.6
Mumbai,2025-02-01,29.1
Mumbai,2025-02-02,30.9
Mumbai,2025-02-03,28.9
Mumbai,2025-02-04,29.7
Mumbai,2025-02-05,31.6
Mumbai,2025-02-06,31.8
Mumbai,2025-02-07,34.3
Mumbai,2025-02-08,33.3
Mumbai,2025-02-09,33.1
Mumbai,2025-02-10,33.6
Mumbai,2025-02-11,32.4
Mumbai,2025-02-12,33.3
Mumbai,2025-02-13,34.8
Mumbai,2025-02-14,34.7
Mumbai,2025-02-15,35.2
Mumbai,2025-02-16,35.1
Mumbai,2025-02-17,34.3
Mumbai,2025-02-18,34.8
Mumbai,2025-02-19,33.4
Mumbai,2025-02-20,34.7
Mumbai,2025-02-21,36.7
Mumbai,2025-02-22,34.9
Mumbai,2025-02-23,35.7
Mumbai,2025-02-24,36.9
Mumbai,2025-02-25,37.5
Mumbai,2025-02-26,37.2
Mumbai,2025-02-27,35.8
Mumbai,2025-02-28,33.4
Mumbai,2025-03-01,33.7
Mumbai,2025-03-02,36.2
Mumbai,2025-03-03,36.2
Mumbai,2025-03-04,35.8
Mumbai,2025-03-05,36.8
Mumbai,2025-03-06,35.0
Mumbai,2025-03-07,36.9
Mumbai,2025-03-08,36.0
Mumbai,2025-03-09,35.6
Mumbai,2025-03-10,39.0
Mumbai,2025-03-11,37.4
Mumbai,2025-03-12,37.1
Mumbai,2025-03-13,34.2
Mumbai,2025-03-14,34.7
Mumbai,2025-03-15,35.5
Mumbai,2025-03-16,33.2
Mumbai,2025-03-17,33.5
Mumbai,2025-03-18,33.2
Mumbai,2025-03-19,32.3
Mumbai,2025-03-20,35.1
Mumbai,2025-03-21,32.4
Mumbai,2025-03-22,32.7
Mumbai,2025-03-23,33.8
Mumbai,2025-03-24,32.9
Mumbai,2025-03-25,33.2
Mumbai,2025-03-26,31.6
Mumbai,2025-03-27,30.8
Mumbai,2025-03-28,32.5
