Shipment_ID,Product,Origin,Destination,Carrier,Spoiled_Flag,Departure_Time,Arrival_Time
SHP-65806,Amoxicillin,Delhi,Mumbai,BlueDart,0,14/03/2025 00:00,2025-03-15 17:00:00
SHP-46311,Humira (Adalimumab),Chennai,Bangalore,Shadowfax,0,2025-03-01 00:00:00,2025-03-02 16:00:00
SHP-53748,Insulin Glargine,Bangalore,Bangalore,BlueDart,0,2025-06-30 00:00:00,2025-07-01 11:00:00
SHP-70482,Amoxicillin,Delhi,Bangalore,BlueDart,0,2025-02-25 00:00:00,2025-02-27 21:00:00
SHP-91253,Amoxicillin,Hyderabad,Hyderabad,BlueDart,0,2025-10-07 00:00:00,2025-10-09 10:00:00
SHP-14402,Humira (Adalimumab),Chennai,Bangalore,Shadowfax,0,2025-10-10 00:00:00,2025-10-10 12:00:00
SHP-66832,Insulin Glargine,Bangalore,Chennai,BlueDart,0,2025-08-03 00:00:00,2025-08-04 11:00:00
SHP-32281,Insulin Glargine,Hyderabad,Chennai,DHL,0,2025-09-09 00:00:00,2025-09-11 08:00:00
SHP-67875,Amoxicillin,Hyderabad,Delhi ,DHL,0,20/01/2025 00:00,2025-01-20 22:00:00
SHP-36228,COVID-19 mRNA Vaccine,Hyderabad,bangalore ,Shadowfax,0,2025-04-06 00:00:00,2025-04-06 15:00:00
SHP-79616,Amoxicillin,Hyderabad,Bangalore ,FedEx,0,2025-07-09 00:00:00,2025-07-09 20:00:00
SHP-46778,Amoxicillin,Delhi,Mumbai,DHL,0,2025-05-26 00:00:00,2025-05-28 02:00:00
SHP-13375,Amoxicillin,Delhi,hyderabad,Delhivery,1,2025-10-02 00:00:00,2025-10-02 22:00:00
SHP-32461,Amoxicillin,Delhi,Delhi,DHL,0,2025-07-20 00:00:00,2025-07-22 15:00:00
SHP-24474,Humira (Adalimumab),Bangalore,Bangalore,Delhivery,0,2025-01-22 00:00:00,2025-01-24 18:00:00
SHP-54649,Insulin Glargine,Bangalore,Mumbai,Shadowfax,0,2025-12-19 00:00:00,2025-12-20 00:00:00
SHP-38988,Humira (Adalimumab),Bangalore,hyderabad,FedEx,0,2025-05-25 00:00:00,2025-05-26 20:00:00
SHP-43839,Humira (Adalimumab),Mumbai,Delhi,Delhivery,1,24/11/2025 00:00,2025-11-24 16:00:00
SHP-24208,Humira (Adalimumab),Bangalore,Delhi,Delhivery,0,2025-02-23 00:00:00,2025-02-24 02:00:00
SHP-55947,Amoxicillin,Delhi,Bangalore,DHL,0,2025-04-20 00:00:00,2025-04-21 12:00:00
SHP-73331,COVID-19 mRNA Vaccine,Delhi,Delhi ,Delhivery,0,2025-09-02 00:00:00,2025-09-03 15:00:00
SHP-94944,Insulin Glargine,Mumbai,mumbai,Shadowfax,0,01/01/2026 00:00,2026-01-03 11:00:00
SHP-57784,COVID-19 mRNA Vaccine,Mumbai,Delhi,,1,2025-10-01 00:00:00,2025-10-03 23:00:00
SHP-66242,Humira (Adalimumab),Bangalore,Chennai,Shadowfax,0,09/09/2025 00:00,2025-09-11 07:00:00
SHP-39704,Humira (Adalimumab),Chennai,Mumbai,DHL,0,2025-06-28 00:00:00,2025-06-30 09:00:00
SHP-13976,COVID-19 mRNA Vaccine,Mumbai,Hyderabad,FedEx,0,2025-03-16 00:00:00,2025-03-17 02:00:00
SHP-59025,COVID-19 mRNA Vaccine,Hyderabad,Hyderabad,DHL,0,2025-04-09 00:00:00,2025-04-10 19:00:00
SHP-94303,COVID-19 mRNA Vaccine,Delhi,Bangalore ,Shadowfax,0,2025-07-27 00:00:00,2025-07-28 08:00:00
SHP-20308,Humira (Adalimumab),Hyderabad,Bangalore,DHL,0,01/08/2025 00:00,2025-08-01 19:00:00
SHP-65963,Humira (Adalimumab),Delhi,Chennai,Shadowfax,0,19/07/2025 00:00,2025-07-21 16:00:00
SHP-33536,Insulin Glargine,Delhi,hyderabad,BlueDart,0,2025-10-14 00:00:00,2025-10-15 03:00:00
SHP-52115,Insulin Glargine,Mumbai,Hyderabad ,BlueDart,0,2025-11-25 00:00:00,2025-11-27 07:00:00
SHP-60128,Humira (Adalimumab),Mumbai,Hyderabad,Delhivery,1,2025-10-12 00:00:00,2025-10-13 22:00:00
SHP-67912,COVID-19 mRNA Vaccine,Hyderabad,Hyderabad,FedEx,0,2025-05-12 00:00:00,2025-05-12 23:00:00
SHP-42142,COVID-19 mRNA Vaccine,Delhi,Delhi,BlueDart,0,21/05/2025 00:00,2025-05-23 14:00:00
SHP-20961,Insulin Glargine,Hyderabad,Mumbai,Shadowfax,0,2025-04-13 00:00:00,2025-04-14 19:00:00
SHP-61762,Humira (Adalimumab),Chennai,mumbai,DHL,0,25/07/2025 00:00,2025-07-27 00:00:00
SHP-93799,Insulin Glargine,Hyderabad,Chennai ,DHL,1,2025-10-12 00:00:00,2025-10-14 00:00:00
SHP-82796,Insulin Glargine,Bangalore,Delhi ,Delhivery,0,2025-11-11 00:00:00,2025-11-11 12:00:00
SHP-38253,Amoxicillin,Hyderabad,Hyderabad,,0,2025-09-20 00:00:00,2025-09-20 20:00:00
SHP-21917,Amoxicillin,Bangalore,Hyderabad,BlueDart,0,2025-08-25 00:00:00,2025-08-27 07:00:00
SHP-50725,Amoxicillin,Bangalore,Bangalore,DHL,0,2025-09-24 00:00:00,2025-09-24 16:00:00
SHP-13102,COVID-19 mRNA Vaccine,Bangalore,Bangalore,BlueDart,0,13/11/2025 00:00,2025-11-14 06:00:00
SHP-34721,Humira (Adalimumab),Chennai,Chennai,BlueDart,1,2025-08-01 00:00:00,2025-08-03 06:00:00
SHP-12185,Humira (Adalimumab),Hyderabad,Hyderabad,FedEx,0,2025-04-02 00:00:00,2025-04-02 20:00:00
SHP-73523,Humira (Adalimumab),Hyderabad,Chennai,Delhivery,1,27/12/2025 00:00,2025-12-29 03:00:00
SHP-27156,Humira (Adalimumab),Chennai,Delhi,Shadowfax,0,2025-11-28 00:00:00,2025-11-29 14:00:00
SHP-14159,Amoxicillin,Delhi,Mumbai,BlueDart,0,2025-02-21 00:00:00,2025-02-23 07:00:00
SHP-29467,COVID-19 mRNA Vaccine,Mumbai,Hyderabad ,Delhivery,0,2025-03-24 00:00:00,2025-03-24 19:00:00
SHP-97627,COVID-19 mRNA Vaccine,Hyderabad,Delhi,,0,2025-03-05 00:00:00,2025-03-06 17:00:00
SHP-94380,Amoxicillin,Mumbai,Hyderabad,DHL,0,2025-06-10 00:00:00,2025-06-11 20:00:00
SHP-24128,COVID-19 mRNA Vaccine,Chennai,Bangalore,Delhivery,0,2025-01-17 00:00:00,2025-01-19 08:00:00
SHP-91125,Amoxicillin,Delhi,Chennai,Delhivery,0,2025-06-24 00:00:00,2025-06-26 19:00:00
SHP-67617,Humira (Adalimumab),Delhi,bangalore,Delhivery,0,2025-01-13 00:00:00,2025-01-14 06:00:00
SHP-89291,Amoxicillin,Delhi,Mumbai,DHL,0,2025-05-22 00:00:00,2025-05-24 22:00:00
SHP-85157,Humira (Adalimumab),Chennai,bangalore,DHL,0,2025-06-16 00:00:00,2025-06-17 20:00:00
SHP-31179,Humira (Adalimumab),Bangalore,Hyderabad,Delhivery,0,17/06/2025 00:00,2025-06-18 01:00:00
SHP-83543,Insulin Glargine,Bangalore,Bangalore,FedEx,0,2025-10-10 00:00:00,2025-10-13 00:00:00
SHP-87324,Amoxicillin,Mumbai,Hyderabad,BlueDart,0,2025-06-20 00:00:00,2025-06-22 18:00:00
SHP-79030,Insulin Glargine,Bangalore,Mumbai ,DHL,0,2025-11-13 00:00:00,2025-11-13 23:00:00
SHP-38668,Amoxicillin,Bangalore,Bangalore,FedEx,0,2025-11-22 00:00:00,2025-11-24 23:00:00
SHP-36431,Amoxicillin,Delhi,chennai,DHL,0,2025-06-21 00:00:00,2025-06-22 10:00:00
